rowsaved,datasettingname,grabdate,grabstatus,note,recfile,rowgrabbed
15.000000,Iron01,2016-03-01T12:03:29.631137787Z,done,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/irondcecomcn.Iron01-20160301120331.csv,15.000000
15.000000,Iron01,2016-03-01T12:04:01.830413421Z,done,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/irondcecomcn.Iron01-20160301120403.csv,15.000000
