datasettingname,grabdate,grabstatus,rowgrabbed,rowsaved,note,recfile
GoldTab01,2016-02-19T17:47:58.729353874+07:00,SUCCESS,15.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/irondcecomcn.GoldTab01-20160219174807.csv
GoldTab01,2016-02-19T17:48:27.665517362+07:00,SUCCESS,30.000000,15.000000,,/Users/novalagung/Documents/go/src/github.com/eaciit/colony-app/data-root/webgrabber/historyrec/irondcecomcn.GoldTab01-20160219174829.csv
