Id,Starttime,Endtime,Grabcount,Rowgrabbed,Errorfound,Lastgrabstatus,Grabstatus,Note
irondcecomcn,2016-03-01 12-04-01,2016-03-01 12-04-03,2.000000,30.000000,0.000000,success,done,
iopriceindices,2016-03-01 12-03-29,,0.000000,0.000000,0.000000,,running,
